PaymentMethodID,Type,Description,AccountID
234,ACH Transfer,Automated clearing house,179
235,Credit Card,Visa/MasterCard/Amex processing,801
236,Debit Card,Direct debit transaction,591
237,Credit Card,Visa/MasterCard/Amex processing,224
238,Debit Card,Direct debit transaction,566
239,Credit Card,Visa/MasterCard/Amex processing,1428
240,Debit Card,Direct debit transaction,1017
241,Debit Card,Direct debit transaction,1792
242,Debit Card,Direct debit transaction,1067
243,Digital Wallet,PayPal/Apple Pay/Google Pay,47
244,Wire Transfer,Electronic wire transfer,854
245,Digital Wallet,PayPal/Apple Pay/Google Pay,1109
246,Debit Card,Direct debit transaction,971
247,Wire Transfer,Electronic wire transfer,861
248,ACH Transfer,Automated clearing house,1511
249,Digital Wallet,PayPal/Apple Pay/Google Pay,44
250,Wire Transfer,Electronic wire transfer,388
251,Credit Card,Visa/MasterCard/Amex processing,46
252,Debit Card,Direct debit transaction,1710
253,Cash Payment,Cash processing,1321
254,Wire Transfer,Electronic wire transfer,844
255,Cash Payment,Cash processing,703
256,Digital Wallet,PayPal/Apple Pay/Google Pay,1324
257,Wire Transfer,Electronic wire transfer,996
258,Cash Payment,Cash processing,1364
259,Digital Wallet,PayPal/Apple Pay/Google Pay,1086
260,Cash Payment,Cash processing,912
261,ACH Transfer,Automated clearing house,623
262,Cash Payment,Cash processing,271
263,Wire Transfer,Electronic wire transfer,352
264,Wire Transfer,Electronic wire transfer,465
265,ACH Transfer,Automated clearing house,762
266,Wire Transfer,Electronic wire transfer,1577
267,Credit Card,Visa/MasterCard/Amex processing,304
268,Wire Transfer,Electronic wire transfer,583
269,ACH Transfer,Automated clearing house,1959
270,Debit Card,Direct debit transaction,1267
271,Debit Card,Direct debit transaction,1458
272,Cash Payment,Cash processing,585
273,Debit Card,Direct debit transaction,1994
274,Debit Card,Direct debit transaction,1719
275,Digital Wallet,PayPal/Apple Pay/Google Pay,1419
276,Digital Wallet,PayPal/Apple Pay/Google Pay,1628
277,Debit Card,Direct debit transaction,331
278,Debit Card,Direct debit transaction,240
279,Credit Card,Visa/MasterCard/Amex processing,649
280,Cash Payment,Cash processing,260
281,ACH Transfer,Automated clearing house,534
282,Wire Transfer,Electronic wire transfer,378
283,Debit Card,Direct debit transaction,1152
284,Digital Wallet,PayPal/Apple Pay/Google Pay,72
285,Digital Wallet,PayPal/Apple Pay/Google Pay,650
286,Wire Transfer,Electronic wire transfer,303
287,Wire Transfer,Electronic wire transfer,919
288,Cash Payment,Cash processing,1998
289,Debit Card,Direct debit transaction,1093
290,Wire Transfer,Electronic wire transfer,249
291,Credit Card,Visa/MasterCard/Amex processing,829
292,ACH Transfer,Automated clearing house,1574
293,Debit Card,Direct debit transaction,1942
294,ACH Transfer,Automated clearing house,1901
295,Wire Transfer,Electronic wire transfer,320
296,Credit Card,Visa/MasterCard/Amex processing,1987
297,Digital Wallet,PayPal/Apple Pay/Google Pay,1119
298,Cash Payment,Cash processing,679
299,Digital Wallet,PayPal/Apple Pay/Google Pay,1445
300,Wire Transfer,Electronic wire transfer,971
301,Wire Transfer,Electronic wire transfer,1986
302,Cash Payment,Cash processing,1366
303,Debit Card,Direct debit transaction,1638
304,Cash Payment,Cash processing,1493
305,ACH Transfer,Automated clearing house,694
306,Digital Wallet,PayPal/Apple Pay/Google Pay,231
307,Digital Wallet,PayPal/Apple Pay/Google Pay,981
308,Credit Card,Visa/MasterCard/Amex processing,286
309,Digital Wallet,PayPal/Apple Pay/Google Pay,1129
310,Credit Card,Visa/MasterCard/Amex processing,631
311,Credit Card,Visa/MasterCard/Amex processing,823
312,Cash Payment,Cash processing,1723
313,Debit Card,Direct debit transaction,914
314,Wire Transfer,Electronic wire transfer,190
315,Wire Transfer,Electronic wire transfer,113
316,Cash Payment,Cash processing,1314
317,Debit Card,Direct debit transaction,1195
318,Cash Payment,Cash processing,455
319,Wire Transfer,Electronic wire transfer,401
320,Credit Card,Visa/MasterCard/Amex processing,172
321,Cash Payment,Cash processing,1740
322,ACH Transfer,Automated clearing house,1387
323,Digital Wallet,PayPal/Apple Pay/Google Pay,1962
324,Credit Card,Visa/MasterCard/Amex processing,1999
325,Cash Payment,Cash processing,808
326,Debit Card,Direct debit transaction,1005
327,Wire Transfer,Electronic wire transfer,1236
328,Cash Payment,Cash processing,1048
329,Credit Card,Visa/MasterCard/Amex processing,1861
330,Digital Wallet,PayPal/Apple Pay/Google Pay,740
331,ACH Transfer,Automated clearing house,303
332,Digital Wallet,PayPal/Apple Pay/Google Pay,1749
333,ACH Transfer,Automated clearing house,758
334,ACH Transfer,Automated clearing house,764
335,Credit Card,Visa/MasterCard/Amex processing,583
336,Wire Transfer,Electronic wire transfer,720
337,Wire Transfer,Electronic wire transfer,913
338,Cash Payment,Cash processing,180
339,Debit Card,Direct debit transaction,1491
340,ACH Transfer,Automated clearing house,1519
341,ACH Transfer,Automated clearing house,1646
342,ACH Transfer,Automated clearing house,592
343,Debit Card,Direct debit transaction,1651
344,Digital Wallet,PayPal/Apple Pay/Google Pay,1988
345,ACH Transfer,Automated clearing house,1493
346,ACH Transfer,Automated clearing house,286
347,Cash Payment,Cash processing,1225
348,Credit Card,Visa/MasterCard/Amex processing,295
349,Debit Card,Direct debit transaction,622
350,ACH Transfer,Automated clearing house,1777
351,Cash Payment,Cash processing,687
352,Credit Card,Visa/MasterCard/Amex processing,1912
353,Cash Payment,Cash processing,1549
354,ACH Transfer,Automated clearing house,182
355,Credit Card,Visa/MasterCard/Amex processing,839
356,Digital Wallet,PayPal/Apple Pay/Google Pay,1873
357,Wire Transfer,Electronic wire transfer,849
358,Debit Card,Direct debit transaction,1139
359,ACH Transfer,Automated clearing house,1455
360,Cash Payment,Cash processing,1547
361,Debit Card,Direct debit transaction,409
362,Debit Card,Direct debit transaction,1705
363,ACH Transfer,Automated clearing house,593
364,Cash Payment,Cash processing,1005
365,Credit Card,Visa/MasterCard/Amex processing,1686
366,Wire Transfer,Electronic wire transfer,1710
367,Cash Payment,Cash processing,623
368,ACH Transfer,Automated clearing house,1146
369,Digital Wallet,PayPal/Apple Pay/Google Pay,950
370,Debit Card,Direct debit transaction,55
371,Credit Card,Visa/MasterCard/Amex processing,316
372,Wire Transfer,Electronic wire transfer,615
373,Digital Wallet,PayPal/Apple Pay/Google Pay,1709
374,Digital Wallet,PayPal/Apple Pay/Google Pay,968
375,Credit Card,Visa/MasterCard/Amex processing,1340
376,Digital Wallet,PayPal/Apple Pay/Google Pay,1829
377,Wire Transfer,Electronic wire transfer,855
378,Debit Card,Direct debit transaction,1008
379,Digital Wallet,PayPal/Apple Pay/Google Pay,1321
380,Debit Card,Direct debit transaction,59
381,Credit Card,Visa/MasterCard/Amex processing,1567
382,Wire Transfer,Electronic wire transfer,1010
383,Credit Card,Visa/MasterCard/Amex processing,1227
384,Digital Wallet,PayPal/Apple Pay/Google Pay,741
385,Cash Payment,Cash processing,985
386,Cash Payment,Cash processing,894
387,Wire Transfer,Electronic wire transfer,1287
388,Digital Wallet,PayPal/Apple Pay/Google Pay,975
389,Digital Wallet,PayPal/Apple Pay/Google Pay,1676
390,Credit Card,Visa/MasterCard/Amex processing,765
391,Cash Payment,Cash processing,1502
392,Cash Payment,Cash processing,36
393,Wire Transfer,Electronic wire transfer,334
394,Cash Payment,Cash processing,120
395,Debit Card,Direct debit transaction,655
396,ACH Transfer,Automated clearing house,1799
397,Digital Wallet,PayPal/Apple Pay/Google Pay,278
398,Wire Transfer,Electronic wire transfer,335
399,Credit Card,Visa/MasterCard/Amex processing,559
400,Wire Transfer,Electronic wire transfer,860
401,Digital Wallet,PayPal/Apple Pay/Google Pay,1868
402,Wire Transfer,Electronic wire transfer,100
403,Wire Transfer,Electronic wire transfer,598
404,Cash Payment,Cash processing,1309
405,Credit Card,Visa/MasterCard/Amex processing,1053
406,Debit Card,Direct debit transaction,1570
407,Digital Wallet,PayPal/Apple Pay/Google Pay,376
408,Credit Card,Visa/MasterCard/Amex processing,1227
409,Debit Card,Direct debit transaction,1114
410,Wire Transfer,Electronic wire transfer,1787
411,Wire Transfer,Electronic wire transfer,1694
412,Digital Wallet,PayPal/Apple Pay/Google Pay,1639
413,Wire Transfer,Electronic wire transfer,556
414,Digital Wallet,PayPal/Apple Pay/Google Pay,1430
415,Digital Wallet,PayPal/Apple Pay/Google Pay,743
416,Credit Card,Visa/MasterCard/Amex processing,1095
417,Cash Payment,Cash processing,721
418,Debit Card,Direct debit transaction,27
419,Debit Card,Direct debit transaction,1062
420,Wire Transfer,Electronic wire transfer,764
421,ACH Transfer,Automated clearing house,844
422,Wire Transfer,Electronic wire transfer,1887
423,Debit Card,Direct debit transaction,210
424,Debit Card,Direct debit transaction,317
425,Cash Payment,Cash processing,453
426,Debit Card,Direct debit transaction,1629
427,Cash Payment,Cash processing,1257
428,Digital Wallet,PayPal/Apple Pay/Google Pay,1703
429,Cash Payment,Cash processing,1733
430,Cash Payment,Cash processing,1460
431,Cash Payment,Cash processing,1439
432,Credit Card,Visa/MasterCard/Amex processing,855
433,ACH Transfer,Automated clearing house,1877
434,Credit Card,Visa/MasterCard/Amex processing,239
435,Debit Card,Direct debit transaction,1892
436,Credit Card,Visa/MasterCard/Amex processing,983
437,Wire Transfer,Electronic wire transfer,639
438,Digital Wallet,PayPal/Apple Pay/Google Pay,743
439,Debit Card,Direct debit transaction,1674
440,ACH Transfer,Automated clearing house,1823
441,Cash Payment,Cash processing,1072
442,Wire Transfer,Electronic wire transfer,353
443,Digital Wallet,PayPal/Apple Pay/Google Pay,624
444,Credit Card,Visa/MasterCard/Amex processing,1525
445,Credit Card,Visa/MasterCard/Amex processing,456
446,Debit Card,Direct debit transaction,1755
447,Digital Wallet,PayPal/Apple Pay/Google Pay,292
448,Digital Wallet,PayPal/Apple Pay/Google Pay,465
449,Wire Transfer,Electronic wire transfer,257
450,Debit Card,Direct debit transaction,267
451,Credit Card,Visa/MasterCard/Amex processing,871
452,Digital Wallet,PayPal/Apple Pay/Google Pay,1563
453,Credit Card,Visa/MasterCard/Amex processing,160
454,Credit Card,Visa/MasterCard/Amex processing,1587
455,ACH Transfer,Automated clearing house,1552
456,ACH Transfer,Automated clearing house,88
457,Debit Card,Direct debit transaction,221
458,Credit Card,Visa/MasterCard/Amex processing,1625
459,Digital Wallet,PayPal/Apple Pay/Google Pay,1052
460,Cash Payment,Cash processing,122
461,ACH Transfer,Automated clearing house,244
462,Wire Transfer,Electronic wire transfer,89
463,Credit Card,Visa/MasterCard/Amex processing,618
464,Digital Wallet,PayPal/Apple Pay/Google Pay,22
465,Credit Card,Visa/MasterCard/Amex processing,1603
466,Credit Card,Visa/MasterCard/Amex processing,1885
467,Cash Payment,Cash processing,421
468,Cash Payment,Cash processing,1846
469,Debit Card,Direct debit transaction,379
470,Digital Wallet,PayPal/Apple Pay/Google Pay,720
471,Credit Card,Visa/MasterCard/Amex processing,186
472,Debit Card,Direct debit transaction,1733
473,Digital Wallet,PayPal/Apple Pay/Google Pay,1929
474,Wire Transfer,Electronic wire transfer,1944
475,Cash Payment,Cash processing,713
476,Wire Transfer,Electronic wire transfer,329
477,Cash Payment,Cash processing,1600
478,Digital Wallet,PayPal/Apple Pay/Google Pay,1256
479,Debit Card,Direct debit transaction,1035
480,Cash Payment,Cash processing,140
481,Credit Card,Visa/MasterCard/Amex processing,1679
482,Cash Payment,Cash processing,1564
483,Credit Card,Visa/MasterCard/Amex processing,1084
484,Debit Card,Direct debit transaction,1466
485,Debit Card,Direct debit transaction,1975
486,Wire Transfer,Electronic wire transfer,352
487,Cash Payment,Cash processing,9
488,Digital Wallet,PayPal/Apple Pay/Google Pay,203
489,Debit Card,Direct debit transaction,1886
490,Cash Payment,Cash processing,1744
491,Digital Wallet,PayPal/Apple Pay/Google Pay,973
492,Wire Transfer,Electronic wire transfer,1430
493,Cash Payment,Cash processing,380
494,ACH Transfer,Automated clearing house,1380
495,Credit Card,Visa/MasterCard/Amex processing,371
496,Wire Transfer,Electronic wire transfer,778
497,ACH Transfer,Automated clearing house,439
498,Cash Payment,Cash processing,467
499,ACH Transfer,Automated clearing house,232
500,Wire Transfer,Electronic wire transfer,254
501,ACH Transfer,Automated clearing house,226
502,Cash Payment,Cash processing,279
503,ACH Transfer,Automated clearing house,1562
504,Wire Transfer,Electronic wire transfer,1444
505,Wire Transfer,Electronic wire transfer,1142
506,Digital Wallet,PayPal/Apple Pay/Google Pay,84
507,Credit Card,Visa/MasterCard/Amex processing,672
508,ACH Transfer,Automated clearing house,237
509,ACH Transfer,Automated clearing house,581
510,ACH Transfer,Automated clearing house,1230
511,Digital Wallet,PayPal/Apple Pay/Google Pay,639
512,Digital Wallet,PayPal/Apple Pay/Google Pay,2000
513,ACH Transfer,Automated clearing house,463
514,Cash Payment,Cash processing,835
515,Wire Transfer,Electronic wire transfer,1752
516,ACH Transfer,Automated clearing house,387
517,Credit Card,Visa/MasterCard/Amex processing,1833
518,ACH Transfer,Automated clearing house,1924
519,Digital Wallet,PayPal/Apple Pay/Google Pay,753
520,Debit Card,Direct debit transaction,27
521,Digital Wallet,PayPal/Apple Pay/Google Pay,1007
522,Digital Wallet,PayPal/Apple Pay/Google Pay,216
523,ACH Transfer,Automated clearing house,898
524,Cash Payment,Cash processing,1349
525,Digital Wallet,PayPal/Apple Pay/Google Pay,175
526,Credit Card,Visa/MasterCard/Amex processing,294
527,ACH Transfer,Automated clearing house,821
528,Digital Wallet,PayPal/Apple Pay/Google Pay,1210
529,Credit Card,Visa/MasterCard/Amex processing,1519
530,Debit Card,Direct debit transaction,133
531,Wire Transfer,Electronic wire transfer,1998
532,Debit Card,Direct debit transaction,694
533,Debit Card,Direct debit transaction,1219
534,ACH Transfer,Automated clearing house,252
535,Debit Card,Direct debit transaction,1717
536,ACH Transfer,Automated clearing house,1486
537,ACH Transfer,Automated clearing house,571
538,Digital Wallet,PayPal/Apple Pay/Google Pay,1569
539,Cash Payment,Cash processing,1216
540,Wire Transfer,Electronic wire transfer,1549
541,Digital Wallet,PayPal/Apple Pay/Google Pay,1932
542,ACH Transfer,Automated clearing house,730
543,ACH Transfer,Automated clearing house,1366
544,Cash Payment,Cash processing,1946
545,ACH Transfer,Automated clearing house,993
546,Cash Payment,Cash processing,572
547,Debit Card,Direct debit transaction,1573
548,ACH Transfer,Automated clearing house,222
549,Credit Card,Visa/MasterCard/Amex processing,514
550,ACH Transfer,Automated clearing house,1019
551,Debit Card,Direct debit transaction,1287
552,Debit Card,Direct debit transaction,61
553,Credit Card,Visa/MasterCard/Amex processing,1512
554,Credit Card,Visa/MasterCard/Amex processing,1701
555,Credit Card,Visa/MasterCard/Amex processing,1021
556,Digital Wallet,PayPal/Apple Pay/Google Pay,55
557,Debit Card,Direct debit transaction,784
558,Cash Payment,Cash processing,1392
559,Wire Transfer,Electronic wire transfer,313
560,Wire Transfer,Electronic wire transfer,1274
561,Cash Payment,Cash processing,198
562,Credit Card,Visa/MasterCard/Amex processing,1354
563,Cash Payment,Cash processing,1572
564,ACH Transfer,Automated clearing house,1624
565,ACH Transfer,Automated clearing house,414
566,Wire Transfer,Electronic wire transfer,1356
567,ACH Transfer,Automated clearing house,1005
568,Cash Payment,Cash processing,536
569,Cash Payment,Cash processing,704
570,Cash Payment,Cash processing,1120
571,Credit Card,Visa/MasterCard/Amex processing,1951
572,Credit Card,Visa/MasterCard/Amex processing,882
573,Credit Card,Visa/MasterCard/Amex processing,786
574,ACH Transfer,Automated clearing house,645
575,ACH Transfer,Automated clearing house,907
576,ACH Transfer,Automated clearing house,74
577,Credit Card,Visa/MasterCard/Amex processing,363
578,Cash Payment,Cash processing,1351
579,Wire Transfer,Electronic wire transfer,1812
580,Digital Wallet,PayPal/Apple Pay/Google Pay,337
581,ACH Transfer,Automated clearing house,883
582,Debit Card,Direct debit transaction,640
583,Digital Wallet,PayPal/Apple Pay/Google Pay,797
584,ACH Transfer,Automated clearing house,1565
585,Credit Card,Visa/MasterCard/Amex processing,1166
586,Digital Wallet,PayPal/Apple Pay/Google Pay,1005
587,Digital Wallet,PayPal/Apple Pay/Google Pay,1135
588,Digital Wallet,PayPal/Apple Pay/Google Pay,1105
589,Cash Payment,Cash processing,963
590,ACH Transfer,Automated clearing house,1152
591,Debit Card,Direct debit transaction,1038
592,Credit Card,Visa/MasterCard/Amex processing,802
593,Wire Transfer,Electronic wire transfer,1014
594,Cash Payment,Cash processing,1989
595,ACH Transfer,Automated clearing house,1264
596,Digital Wallet,PayPal/Apple Pay/Google Pay,723
597,Wire Transfer,Electronic wire transfer,657
598,Credit Card,Visa/MasterCard/Amex processing,58
599,Cash Payment,Cash processing,93
600,Debit Card,Direct debit transaction,1715
601,Wire Transfer,Electronic wire transfer,715
602,Digital Wallet,PayPal/Apple Pay/Google Pay,1196
603,Credit Card,Visa/MasterCard/Amex processing,1568
604,Digital Wallet,PayPal/Apple Pay/Google Pay,699
605,ACH Transfer,Automated clearing house,200
606,ACH Transfer,Automated clearing house,707
607,Wire Transfer,Electronic wire transfer,844
608,Wire Transfer,Electronic wire transfer,116
609,Digital Wallet,PayPal/Apple Pay/Google Pay,501
610,Debit Card,Direct debit transaction,481
611,Digital Wallet,PayPal/Apple Pay/Google Pay,640
612,Cash Payment,Cash processing,174
