TransactionID,Amount,Currency,Status,TransactionDate,SettlementDate,FromAccountID,ToAccountID,ClearingHouseID,PaymentMethodID
69,753,CAD,Settled,2025-01-27,2025-01-29,857,163,7,72
70,83,EUR,Pending,2025-06-13,2025-06-16,1136,496,3,396
71,95,GBP,Cleared,2024-08-03,2024-08-06,1454,858,7,899
72,52,CAD,Pending,2025-06-11,2025-06-12,564,541,7,957
73,180,CAD,Settled,2024-11-01,2024-11-04,469,969,3,658
74,45,EUR,Cleared,2024-05-19,2024-05-21,392,435,5,110
75,70,GBP,Settled,2024-09-18,2024-09-21,181,1193,7,261
76,14,JPY,Settled,2025-03-16,2025-03-19,940,991,2,81
77,19,JPY,Settled,2025-06-07,2025-06-08,1354,1801,5,2
78,91,JPY,Settled,2025-04-03,2025-04-06,321,900,5,138
79,95,USD,Settled,2024-07-07,2024-07-10,1706,927,4,856
80,820,GBP,Pending,2025-06-27,2025-06-28,1164,736,1,154
81,506,CAD,Settled,2023-09-08,2023-09-10,266,1763,2,511
82,70,USD,Cleared,2025-01-05,2025-01-07,1852,1872,2,793
83,217,EUR,Settled,2025-03-23,2025-03-26,178,1627,5,83
84,19,USD,Cleared,2025-05-21,2025-05-22,1248,1530,7,598
85,100,GBP,Settled,2024-12-25,2024-12-27,1987,61,4,993
86,480,USD,Failed,2024-10-01,2024-10-04,1820,1170,1,489
87,79,JPY,Pending,2024-09-12,2024-09-15,1043,1280,2,781
88,65,GBP,Settled,2024-12-29,2024-12-31,1703,265,6,982
89,96,CAD,Settled,2025-03-11,2025-03-14,1956,1639,3,303
90,39,CAD,Cleared,2024-12-22,2024-12-25,472,568,2,582
91,230,GBP,Cleared,2025-01-30,2025-02-01,314,1939,7,878
92,343,USD,Settled,2024-09-09,2024-09-11,327,1578,2,617
93,22,GBP,Cleared,2024-10-05,2024-10-07,618,1120,5,708
94,802,EUR,Settled,2025-04-11,2025-04-13,392,384,5,110
95,13,USD,Settled,2024-01-08,2024-01-11,1728,856,1,275
96,88,CAD,Cleared,2024-06-26,2024-06-28,1061,1826,3,292
97,160,JPY,Settled,2024-11-27,2024-11-30,877,1861,3,386
98,8,GBP,Cleared,2024-05-01,2024-05-04,840,1271,3,32
99,56,CAD,Settled,2025-02-21,2025-02-24,940,881,2,81
100,14,CAD,Settled,2023-11-20,2023-11-21,438,205,4,705
101,59,CAD,Settled,2024-05-30,2024-05-31,286,504,4,438
102,59,EUR,Settled,2025-03-15,2025-03-16,383,1537,2,308
103,887,JPY,Settled,2024-06-01,2024-06-04,930,1059,1,745
104,87,USD,Settled,2024-12-07,2024-12-10,1958,22,2,910
105,44549,EUR,Pending,2025-05-21,2025-05-22,1354,1866,5,2
106,28455,USD,Cleared,2025-06-11,2025-06-14,184,1367,5,185
107,100,JPY,Settled,2025-03-25,2025-03-27,583,1027,2,973
108,46,JPY,Settled,2024-08-22,2024-08-25,1981,1096,5,920
109,657,JPY,Settled,2025-01-29,2025-02-01,1585,1223,5,337
110,58,GBP,Settled,2025-04-19,2025-04-21,746,787,5,162
111,86,GBP,Cleared,2024-07-07,2024-07-08,624,728,1,319
112,81,CAD,Cleared,2024-06-28,2024-06-30,126,1587,2,942
113,9,EUR,Cleared,2024-07-27,2024-07-30,1062,678,3,34
114,73,EUR,Cleared,2025-02-09,2025-02-11,371,976,7,830
115,76,JPY,Settled,2025-01-18,2025-01-19,679,278,3,602
116,100,JPY,Settled,2024-11-02,2024-11-05,732,919,4,838
117,38,CAD,Settled,2025-02-12,2025-02-15,260,297,4,944
118,990,USD,Settled,2025-05-21,2025-05-22,21,969,3,801
119,46809,JPY,Settled,2024-12-27,2024-12-28,576,239,6,216
120,19,GBP,Cleared,2024-06-08,2024-06-10,874,218,2,136
121,524,USD,Settled,2025-01-04,2025-01-05,131,1495,3,18
122,200,EUR,Settled,2025-02-10,2025-02-13,1094,1675,5,39
123,17609,USD,Cleared,2025-04-01,2025-04-02,1136,1632,3,396
124,692,USD,Settled,2024-08-27,2024-08-28,958,62,2,916
125,94,GBP,Pending,2025-01-22,2025-01-24,1044,1796,1,775
126,122,GBP,Settled,2024-10-05,2024-10-06,1100,422,6,16
127,62,JPY,Settled,2024-11-25,2024-11-27,306,522,5,51
128,38,GBP,Cleared,2025-01-29,2025-01-30,498,1906,5,737
129,10,CAD,Cleared,2025-02-04,2025-02-07,877,291,3,386
130,765,USD,Cleared,2024-06-29,2024-07-01,1049,1434,4,156
131,70,CAD,Failed,2024-05-17,2024-05-20,407,1802,5,699
132,24296,CAD,Settled,2025-04-10,2025-04-12,1503,595,2,318
133,7,EUR,Pending,2025-03-18,2025-03-21,1726,1721,7,461
134,384,JPY,Cleared,2025-05-31,2025-06-03,1049,1793,4,156
135,849,GBP,Failed,2024-11-12,2024-11-15,21,1366,3,801
136,90,JPY,Cleared,2025-05-17,2025-05-20,1322,1800,2,453
137,97,CAD,Settled,2023-10-24,2023-10-27,1647,311,5,747
138,22,CAD,Cleared,2025-02-03,2025-02-05,1719,530,3,407
139,28,CAD,Settled,2025-06-06,2025-06-09,617,1233,6,423
140,4,CAD,Settled,2024-12-23,2024-12-25,1305,307,7,529
141,79,USD,Settled,2024-11-21,2024-11-22,930,1672,1,745
142,31,CAD,Settled,2025-04-07,2025-04-09,1184,1429,6,364
143,39,EUR,Pending,2024-06-10,2024-06-13,1642,1797,4,474
144,883,CAD,Settled,2024-10-03,2024-10-06,1764,102,6,785
145,1,USD,Cleared,2024-12-29,2025-01-01,181,1195,7,261
146,43,EUR,Settled,2024-08-26,2024-08-28,578,1616,1,905
147,28,CAD,Settled,2024-11-03,2024-11-04,159,185,2,239
148,30,CAD,Settled,2024-04-22,2024-04-24,866,1171,1,746
149,37,JPY,Cleared,2025-03-25,2025-03-27,1000,1206,4,525
150,337,JPY,Settled,2024-10-15,2024-10-16,1679,420,7,684
151,55,USD,Settled,2024-05-28,2024-05-30,17,1902,6,636
152,99,CAD,Cleared,2025-04-25,2025-04-27,1987,919,4,784
153,18,CAD,Cleared,2025-02-06,2025-02-07,898,1349,6,667
154,34,USD,Settled,2025-05-19,2025-05-21,1067,239,6,998
155,38477,GBP,Settled,2025-02-26,2025-02-27,668,1185,1,445
156,25,JPY,Cleared,2025-01-16,2025-01-18,303,1572,6,748
157,487,CAD,Cleared,2024-08-20,2024-08-21,1806,661,4,167
158,558,EUR,Failed,2024-07-14,2024-07-16,843,1417,7,710
159,79,EUR,Settled,2024-12-26,2024-12-28,1883,568,2,1
160,7661,JPY,Settled,2024-10-06,2024-10-07,662,1146,4,955
161,37,USD,Cleared,2024-11-09,2024-11-11,1726,541,7,461
162,81,EUR,Settled,2024-10-24,2024-10-27,1648,1045,1,90
163,31,JPY,Cleared,2025-07-19,2025-07-22,1049,785,4,156
164,74,JPY,Settled,2025-03-05,2025-03-07,1053,546,2,575
165,59,GBP,Settled,2024-05-02,2024-05-03,989,221,5,232
166,34940,EUR,Settled,2025-04-11,2025-04-13,1413,422,6,20
167,950,CAD,Settled,2025-03-05,2025-03-08,840,702,3,912
168,28,CAD,Pending,2025-06-19,2025-06-20,1023,1847,4,354
169,88,JPY,Settled,2024-12-02,2024-12-05,814,864,3,497
170,13,JPY,Cancelled,2025-01-28,2025-01-30,724,160,3,721
171,70,CAD,Settled,2024-12-14,2024-12-15,1382,702,3,49
172,971,EUR,Settled,2024-02-19,2024-02-20,298,1583,7,736
173,482,GBP,Settled,2024-01-23,2024-01-24,688,124,6,566
174,784,JPY,Settled,2024-12-08,2024-12-10,1085,1332,6,82
175,55,EUR,Settled,2024-05-05,2024-05-07,1246,1146,4,15
176,942,CAD,Settled,2025-06-02,2025-06-04,814,248,3,497
177,38652,CAD,Cleared,2025-01-01,2025-01-02,1469,805,2,622
178,91,USD,Settled,2024-10-18,2024-10-21,1099,944,4,457
179,80,CAD,Cleared,2025-01-27,2025-01-29,799,660,6,467
180,971,JPY,Cancelled,2024-09-04,2024-09-07,1962,1896,7,498
181,84,CAD,Cleared,2024-11-17,2024-11-18,74,923,4,945
182,343,EUR,Cleared,2025-07-09,2025-07-11,114,758,3,787
183,693,USD,Settled,2024-07-31,2024-08-03,1251,404,5,581
184,18,GBP,Settled,2025-01-30,2025-01-31,777,264,5,573
185,9897,USD,Settled,2024-02-11,2024-02-13,908,1676,2,680
186,15,GBP,Settled,2024-09-24,2024-09-26,1324,683,3,87
187,61,GBP,Cleared,2024-05-18,2024-05-20,644,1960,5,202
188,445,GBP,Settled,2024-08-12,2024-08-13,442,601,4,670
189,817,JPY,Settled,2024-10-14,2024-10-17,116,109,7,254
190,13,CAD,Settled,2024-10-30,2024-11-02,1792,484,3,264
191,48243,EUR,Cleared,2024-06-07,2024-06-09,131,1601,3,18
192,43,EUR,Settled,2025-03-24,2025-03-26,1408,931,2,128
193,184,EUR,Settled,2024-03-13,2024-03-15,1980,1110,6,799
194,83,USD,Settled,2024-05-31,2024-06-03,1894,388,7,663
195,730,JPY,Failed,2024-03-22,2024-03-23,1677,1785,1,759
196,42983,USD,Settled,2024-07-10,2024-07-12,1642,148,4,474
197,858,CAD,Settled,2024-07-08,2024-07-10,156,264,5,809
198,824,CAD,Pending,2025-06-26,2025-06-29,51,450,4,99
199,40,CAD,Settled,2024-08-18,2024-08-19,231,1923,4,237
200,670,CAD,Cleared,2024-11-02,2024-11-04,769,723,6,344
201,107,USD,Settled,2024-11-22,2024-11-24,257,203,2,936
202,40757,EUR,Settled,2024-06-25,2024-06-26,1596,1864,5,481
203,23,GBP,Settled,2024-12-18,2024-12-20,1989,1240,7,468
204,36,CAD,Settled,2024-03-11,2024-03-13,769,579,6,344
205,31096,CAD,Settled,2025-06-30,2025-07-01,774,1436,7,137
206,23,USD,Settled,2024-05-05,2024-05-07,840,1538,3,912
207,148,GBP,Settled,2025-01-07,2025-01-10,1457,4,2,398
208,996,EUR,Settled,2024-12-18,2024-12-21,1799,780,6,35
209,38,EUR,Settled,2025-02-07,2025-02-10,190,1550,1,863
210,644,EUR,Cleared,2024-08-25,2024-08-28,1820,1928,1,489
211,39921,CAD,Settled,2025-01-23,2025-01-26,1281,1632,3,845
212,823,CAD,Settled,2025-01-31,2025-02-03,1228,1271,3,698
213,37865,EUR,Settled,2024-09-25,2024-09-27,1029,312,4,455
214,85,CAD,Cleared,2024-04-19,2024-04-20,407,1277,5,699
215,940,JPY,Cleared,2024-10-23,2024-10-25,985,463,1,283
216,45,EUR,Settled,2025-05-08,2025-05-11,872,420,7,268
217,6,EUR,Cleared,2025-01-08,2025-01-10,774,1020,7,137
218,35,USD,Settled,2025-06-16,2025-06-18,973,916,7,609
219,38,EUR,Cleared,2025-01-01,2025-01-02,985,1259,1,283
220,24,USD,Pending,2025-01-29,2025-01-30,849,834,6,447
221,13,USD,Settled,2025-02-01,2025-02-04,984,1170,1,873
222,409,GBP,Cleared,2025-03-15,2025-03-16,617,543,6,423
223,25,GBP,Pending,2024-05-30,2024-05-31,1596,721,5,481
224,67,EUR,Settled,2024-10-12,2024-10-14,899,1669,1,806
225,85,CAD,Cleared,2024-12-01,2024-12-02,1425,1813,3,902
226,9,GBP,Pending,2024-05-11,2024-05-13,366,1002,7,376
227,936,JPY,Settled,2024-04-07,2024-04-08,1496,1332,6,638
228,63,GBP,Settled,2025-03-21,2025-03-22,1654,702,3,918
229,38407,JPY,Failed,2025-05-26,2025-05-29,1162,1632,3,190
230,44,GBP,Settled,2025-02-23,2025-02-26,1654,1230,3,918
231,73,EUR,Settled,2025-01-02,2025-01-04,1062,1040,3,34
232,60,EUR,Cancelled,2024-07-02,2024-07-03,871,148,4,189
233,9,EUR,Settled,2024-06-02,2024-06-03,476,82,1,937
234,57,GBP,Cleared,2025-05-09,2025-05-10,777,1288,5,573
235,5,GBP,Pending,2025-01-13,2025-01-15,334,460,3,119
236,1,USD,Cancelled,2025-01-28,2025-01-31,1382,748,3,49
237,18,USD,Cleared,2024-12-01,2024-12-02,957,700,5,462
238,31,USD,Settled,2025-01-10,2025-01-12,663,162,2,4
239,151,EUR,Settled,2025-02-18,2025-02-21,887,1491,4,979
240,3281,USD,Settled,2025-07-01,2025-07-02,744,1297,3,426
241,54,EUR,Settled,2024-07-06,2024-07-08,693,987,7,466
242,601,GBP,Settled,2024-12-17,2024-12-18,918,161,1,297
243,31317,USD,Cleared,2024-11-04,2024-11-05,455,24,2,884
244,385,USD,Settled,2025-03-30,2025-04-02,1394,1583,7,315
245,600,CAD,Cleared,2025-01-20,2025-01-22,1047,1143,2,234
246,41,USD,Cleared,2025-05-12,2025-05-13,1789,361,4,301
247,96,EUR,Settled,2024-08-30,2024-09-02,351,417,7,27
248,549,GBP,Settled,2024-12-29,2025-01-01,1145,281,3,506
249,872,GBP,Settled,2024-10-30,2024-11-01,1403,1213,6,397
250,172,CAD,Cleared,2024-07-27,2024-07-28,1955,1357,6,55
251,402,GBP,Cleared,2025-03-29,2025-03-30,319,388,7,169
252,99,GBP,Settled,2025-01-24,2025-01-26,1798,559,4,74
253,105,GBP,Cancelled,2025-01-08,2025-01-11,257,838,2,936
254,44,CAD,Settled,2024-03-07,2024-03-10,1958,1767,2,910
255,791,EUR,Settled,2025-07-17,2025-07-18,1799,1712,6,35
256,15,EUR,Cleared,2024-11-21,2024-11-23,347,32,3,683
257,79,GBP,Pending,2025-07-20,2025-07-21,1834,1676,2,23
258,411,JPY,Settled,2025-01-04,2025-01-06,519,745,4,528
259,38719,USD,Settled,2024-09-26,2024-09-27,1956,864,3,303
260,716,EUR,Failed,2025-04-27,2025-04-28,584,194,1,947
261,81,EUR,Settled,2024-03-10,2024-03-13,298,858,7,736
262,507,USD,Cleared,2024-09-11,2024-09-14,114,1949,3,787
263,540,JPY,Settled,2025-01-20,2025-01-22,491,1366,3,276
264,77,CAD,Settled,2024-12-19,2024-12-21,1914,807,4,223
265,18,JPY,Cleared,2025-02-10,2025-02-13,1982,1537,2,382
266,3,JPY,Cleared,2025-05-12,2025-05-13,357,1710,7,633
267,19266,USD,Settled,2025-07-01,2025-07-04,1653,420,7,883
268,79,EUR,Settled,2024-03-27,2024-03-30,89,1559,4,208
269,9,EUR,Pending,2024-08-15,2024-08-17,1312,1223,5,837
270,68,GBP,Cleared,2024-09-26,2024-09-27,1275,470,6,791
271,53,USD,Cleared,2024-08-09,2024-08-11,1252,1098,3,925
272,49,CAD,Settled,2023-12-04,2023-12-06,1312,1627,5,837
273,60,CAD,Pending,2024-05-04,2024-05-06,336,1465,5,890
274,27,USD,Settled,2024-12-20,2024-12-22,1640,10,5,465
275,32529,JPY,Settled,2024-12-11,2024-12-14,77,468,1,869
276,8,EUR,Settled,2024-07-22,2024-07-24,178,581,5,83
277,49175,CAD,Pending,2025-03-07,2025-03-08,720,696,3,375
278,87,JPY,Cleared,2024-08-25,2024-08-28,370,875,4,508
279,33,EUR,Settled,2024-04-24,2024-04-25,207,420,7,207
280,78,CAD,Settled,2025-02-12,2025-02-15,1433,1613,4,776
281,49328,GBP,Settled,2024-12-30,2024-12-31,1169,1802,5,752
282,76,GBP,Cleared,2025-01-06,2025-01-09,1263,1316,3,831
283,41697,CAD,Settled,2024-09-30,2024-10-02,1753,65,5,855
284,372,USD,Cleared,2024-12-25,2024-12-26,1841,683,3,952
285,19,GBP,Settled,2025-03-12,2025-03-14,933,878,6,611
286,409,GBP,Cleared,2024-06-23,2024-06-24,207,388,7,207
287,90,EUR,Settled,2024-07-19,2024-07-20,303,1456,6,748
288,14884,CAD,Settled,2025-01-27,2025-01-28,133,1581,1,212
289,638,JPY,Cleared,2024-07-03,2024-07-04,1745,1727,6,788
290,14566,CAD,Settled,2025-03-03,2025-03-05,1831,30,3,740
291,3196,JPY,Failed,2025-01-23,2025-01-25,1732,1329,1,348
292,297,CAD,Pending,2024-08-10,2024-08-11,957,1667,5,619
293,50,JPY,Cancelled,2025-02-14,2025-02-17,1136,1842,3,396
294,100,JPY,Cleared,2023-10-24,2023-10-27,783,702,3,921
295,27,GBP,Cleared,2024-12-29,2024-12-31,984,612,1,873
296,97,EUR,Cleared,2025-04-20,2025-04-22,544,580,7,289
297,17,JPY,Settled,2024-09-08,2024-09-10,958,1183,2,916
298,919,JPY,Settled,2024-09-12,2024-09-13,1455,1333,4,408
299,822,USD,Settled,2025-02-05,2025-02-06,887,754,4,979
300,43,EUR,Settled,2024-05-23,2024-05-25,1742,1370,6,48
301,32,GBP,Cleared,2025-03-28,2025-03-30,183,894,3,393
302,56,GBP,Settled,2024-08-16,2024-08-19,623,203,2,282
303,693,CAD,Cleared,2025-02-27,2025-02-28,1334,422,6,420
304,56,GBP,Settled,2025-07-03,2025-07-04,633,1255,2,246
305,56,CAD,Settled,2024-11-07,2024-11-08,624,463,1,319
306,129,EUR,Cancelled,2025-06-12,2025-06-13,1433,510,4,776
307,83,JPY,Cleared,2024-12-19,2024-12-21,613,1417,7,623
308,666,EUR,Pending,2025-02-25,2025-02-28,1199,1853,3,822
309,9,USD,Cleared,2025-04-30,2025-05-01,744,1361,3,714
310,1543,GBP,Settled,2024-11-09,2024-11-12,624,1259,1,319
311,96,EUR,Cleared,2024-06-11,2024-06-13,627,1678,6,64
312,60,EUR,Failed,2024-08-16,2024-08-17,1012,533,5,148
313,18019,JPY,Settled,2025-03-14,2025-03-15,985,318,1,283
314,24,USD,Settled,2025-02-14,2025-02-15,1647,427,5,747
315,44600,CAD,Settled,2025-02-06,2025-02-08,781,1230,3,379
316,39933,EUR,Settled,2023-10-11,2023-10-13,814,1541,3,497
317,940,EUR,Cleared,2025-01-24,2025-01-26,624,1756,1,319
318,25,USD,Failed,2025-03-01,2025-03-02,429,541,7,643
319,68,USD,Settled,2024-08-30,2024-08-31,1741,527,1,383
320,75,GBP,Pending,2025-04-25,2025-04-27,1916,1779,3,244
321,61,JPY,Settled,2025-04-03,2025-04-05,938,1625,2,233
322,14,GBP,Cleared,2024-12-21,2024-12-22,676,102,6,970
323,52,JPY,Settled,2025-05-06,2025-05-07,833,468,1,451
324,954,CAD,Settled,2024-11-29,2024-11-30,1320,1450,6,896
325,298,GBP,Settled,2025-02-14,2025-02-16,1053,1,2,681
326,30,CAD,Settled,2024-09-06,2024-09-09,182,32,3,882
327,652,GBP,Settled,2024-08-21,2024-08-22,181,1325,7,261
328,37,USD,Settled,2025-04-03,2025-04-06,1166,928,7,543
329,75,JPY,Settled,2025-03-18,2025-03-20,191,1229,5,504
330,170,JPY,Settled,2025-03-27,2025-03-30,190,1713,1,863
331,81,EUR,Settled,2025-04-09,2025-04-12,324,145,5,485
332,40680,GBP,Settled,2025-03-25,2025-03-28,1324,196,3,87
333,20,GBP,Settled,2023-07-14,2023-07-15,230,1303,2,730
334,23,GBP,Cleared,2025-04-09,2025-04-11,1725,212,7,771
335,41,GBP,Settled,2025-02-26,2025-02-28,1883,717,2,1
336,1,USD,Settled,2024-02-24,2024-02-27,469,1040,3,658
337,426,EUR,Settled,2025-04-18,2025-04-19,249,109,7,813
338,6795,USD,Settled,2025-01-26,2025-01-28,971,1776,1,238
339,61,USD,Settled,2024-09-15,2024-09-18,1034,1429,6,557
340,8,EUR,Settled,2025-06-04,2025-06-05,874,24,2,634
341,392,GBP,Settled,2025-02-19,2025-02-22,231,369,4,237
342,415,CAD,Pending,2025-04-12,2025-04-15,1725,962,7,771
343,362,CAD,Settled,2025-03-18,2025-03-21,1641,374,7,218
344,42076,CAD,Cleared,2024-10-15,2024-10-18,613,448,7,263
345,40,JPY,Settled,2024-12-07,2024-12-10,985,1812,1,283
346,71,GBP,Cleared,2024-11-14,2024-11-15,1056,198,2,600
347,9,JPY,Failed,2025-04-28,2025-05-01,123,1616,1,821
348,51,USD,Pending,2025-01-09,2025-01-10,1494,1808,1,113
349,83,GBP,Settled,2024-05-21,2024-05-24,156,1801,5,713
350,675,CAD,Settled,2024-06-25,2024-06-28,1062,1930,3,34
351,788,GBP,Settled,2024-06-27,2024-06-30,292,1930,3,209
352,38338,CAD,Cleared,2025-04-16,2025-04-17,1562,616,7,716
353,56,CAD,Settled,2024-05-13,2024-05-15,792,1887,4,192
354,23,USD,Cleared,2024-03-01,2024-03-04,130,1432,6,836
355,48,CAD,Settled,2024-11-17,2024-11-19,131,352,3,18
356,24138,EUR,Failed,2025-03-06,2025-03-09,872,289,7,268
357,30,EUR,Cleared,2024-11-11,2024-11-13,235,19,7,613
358,37,EUR,Cleared,2023-10-20,2023-10-23,918,856,1,297
359,74,JPY,Settled,2024-11-04,2024-11-07,1201,3,5,786
360,376,JPY,Settled,2025-01-22,2025-01-25,166,435,5,847
361,932,JPY,Settled,2024-12-26,2024-12-28,1282,1055,7,122
362,10,JPY,Cleared,2025-06-28,2025-07-01,1885,148,4,365
363,383,EUR,Settled,2025-05-05,2025-05-07,1962,397,7,498
364,49,USD,Settled,2024-04-13,2024-04-14,1441,276,4,892
365,834,CAD,Cleared,2024-10-22,2024-10-24,191,210,5,504
366,61,JPY,Cancelled,2025-04-02,2025-04-04,1647,1854,5,747
367,33591,USD,Settled,2024-07-12,2024-07-14,1982,471,2,382
368,14,EUR,Cleared,2024-06-13,2024-06-16,1145,1391,3,506
369,18054,JPY,Settled,2024-09-27,2024-09-29,184,1765,5,185
370,33856,JPY,Pending,2024-04-19,2024-04-20,874,546,2,136
371,79,EUR,Settled,2024-12-02,2024-12-03,1085,780,6,82
372,465,CAD,Settled,2024-06-26,2024-06-28,1585,1448,5,337
373,136,JPY,Cleared,2024-05-07,2024-05-08,1382,1393,3,49
374,398,GBP,Settled,2024-06-28,2024-06-29,38,335,2,173
375,979,JPY,Cancelled,2024-12-03,2024-12-04,100,577,2,220
376,77,JPY,Settled,2025-03-10,2025-03-11,970,704,2,219
377,26716,JPY,Settled,2024-03-21,2024-03-22,370,689,4,372
378,15191,JPY,Settled,2025-05-09,2025-05-11,91,108,4,236
379,13195,USD,Cancelled,2024-12-27,2024-12-30,583,1624,2,973
380,34385,USD,Settled,2025-05-13,2025-05-15,301,312,4,738
381,78,GBP,Cancelled,2024-11-05,2024-11-08,303,1611,6,748
382,74,USD,Settled,2025-01-22,2025-01-23,857,1200,7,72
383,737,CAD,Settled,2025-02-27,2025-03-01,714,935,6,355
384,742,USD,Settled,2025-02-20,2025-02-21,1885,782,4,365
385,3,CAD,Settled,2024-04-15,2024-04-18,46,68,7,580
386,5054,JPY,Pending,2024-11-22,2024-11-25,131,1779,3,18
387,12894,CAD,Failed,2024-11-07,2024-11-10,151,135,2,101
388,22,EUR,Cleared,2025-01-18,2025-01-19,777,1187,5,573
389,40,EUR,Settled,2024-12-09,2024-12-10,707,1456,6,314
390,884,GBP,Settled,2024-10-05,2024-10-07,744,86,3,426
391,146,EUR,Cleared,2024-06-11,2024-06-13,1029,98,4,455
392,94,USD,Cleared,2024-09-18,2024-09-20,292,496,3,209
393,484,GBP,Settled,2023-07-18,2023-07-21,637,461,5,755
394,87,USD,Settled,2024-07-13,2024-07-16,1666,232,1,757
